CustomerID,Country,Frequency,Monetary,Recency,Is_Churned
12346.0,United Kingdom,1,77183.6,325,1
12347.0,Iceland,7,4310.0,2,0
12348.0,Finland,4,1797.24,75,0
12349.0,Italy,1,1757.55,18,0
12350.0,Norway,1,334.40000000000003,310,1
12352.0,Norway,8,2506.04,36,0
12353.0,Bahrain,1,89.0,204,1
12354.0,Spain,1,1079.4,232,1
12355.0,Bahrain,1,459.40000000000003,214,1
12356.0,Portugal,3,2811.43,22,0
12357.0,Switzerland,1,6207.67,33,0
12358.0,Austria,2,1168.0600000000002,1,0
12359.0,Cyprus,4,6372.58,57,0
12360.0,Austria,3,2662.06,52,0
12361.0,Belgium,1,189.9,287,1
12362.0,Belgium,10,5226.2300000000005,3,0
12363.0,Unspecified,2,552.0,109,1
12364.0,Belgium,4,1313.1,7,0
12365.0,Cyprus,2,641.38,291,1
12367.0,Denmark,1,168.9,4,0
12370.0,Cyprus,4,3545.69,51,0
12371.0,Switzerland,2,1887.96,44,0
12372.0,Denmark,3,1298.04,71,0
12373.0,Austria,1,364.6,311,1
12374.0,Austria,1,742.9300000000001,25,0
12375.0,Finland,2,457.5,10,0
12377.0,Switzerland,2,1628.1200000000001,315,1
12378.0,Switzerland,1,4008.62,129,1
12379.0,Belgium,2,852.24,81,0
12380.0,Belgium,4,2724.81,21,0
12381.0,Norway,5,1845.31,4,0
12383.0,Belgium,5,1850.56,184,1
12384.0,Switzerland,2,585.27,28,0
12386.0,Australia,2,401.90000000000003,337,1
12388.0,Australia,6,2780.6600000000003,15,0
12390.0,Belgium,1,549.84,79,0
12391.0,Cyprus,1,460.89,21,0
12393.0,Australia,4,1582.6000000000001,72,0
12394.0,Denmark,2,1272.48,63,0
12395.0,Belgium,12,3018.63,19,0
12397.0,Belgium,2,2409.9,35,0
12398.0,Switzerland,1,1635.66,45,0
12399.0,Belgium,4,1108.65,119,1
12401.0,Belgium,1,84.3,303,1
12402.0,Belgium,1,225.6,323,1
12403.0,Denmark,1,427.7,49,0
12405.0,Finland,1,1710.39,148,1
12406.0,Denmark,2,3415.3,22,0
12407.0,Belgium,5,1708.12,49,0
12408.0,Belgium,5,2888.55,32,0
12409.0,Switzerland,3,11072.67,78,0
12410.0,Switzerland,2,693.33,308,1
12412.0,Denmark,3,1226.88,74,0
12413.0,France,3,758.1,66,0
12414.0,Austria,3,562.41,217,1
12415.0,Australia,21,124914.53,24,0
12417.0,Spain,9,3649.1,3,0
12418.0,Switzerland,1,668.58,112,1
12420.0,Cyprus,1,600.39,63,0
12421.0,Spain,4,807.04,15,0
12422.0,Switzerland,3,803.5600000000001,95,1
12423.0,Belgium,8,1859.31,0,0
12424.0,Australia,2,1760.96,162,1
12425.0,Portugal,1,777.2,78,0
12426.0,Germany,1,582.73,194,1
12427.0,Germany,3,825.8,21,0
12428.0,Finland,9,7956.46,25,0
12429.0,Denmark,4,3750.4,9,0
12430.0,Norway,1,256.4,43,0
12431.0,Belgium,15,6487.45,35,0
12432.0,Norway,5,5059.32,42,0
12433.0,Norway,7,13375.87,0,0
12434.0,Australia,2,806.14,84,0
12435.0,Denmark,2,7829.89,79,0
12436.0,Norway,1,509.01,99,1
12437.0,France,18,4951.41,1,0
12438.0,Norway,2,2906.85,14,0
12441.0,France,1,173.55,366,1
12442.0,Spain,1,172.06,3,0
12444.0,Norway,5,5005.46,21,0
12445.0,Spain,1,133.4,22,0
12446.0,RSA,1,1002.3100000000001,57,0
12447.0,Belgium,1,476.49,243,1
12448.0,Spain,1,449.45,44,0
12449.0,Belgium,4,4067.29,22,0
12450.0,Spain,2,197.88,156,1
12451.0,Switzerland,5,9035.52,10,0
12452.0,Switzerland,2,430.57,16,0
12453.0,Austria,1,707.09,134,1
12454.0,Spain,1,3528.34,56,0
12455.0,Spain,6,2466.86,73,0
12456.0,Switzerland,3,3181.04,44,0
12457.0,Switzerland,7,2363.23,66,0
12458.0,Switzerland,2,947.4,71,0
12461.0,Switzerland,2,826.88,94,1
12462.0,Spain,2,1189.59,18,0
12463.0,Belgium,4,1344.78,53,0
12464.0,Belgium,8,1212.05,10,0
12465.0,Belgium,2,742.19,17,0
12468.0,Germany,2,729.5400000000001,187,1
12471.0,Germany,30,19824.05,2,0
12472.0,Germany,7,6572.11,32,0
12473.0,Germany,5,3938.55,29,0
12474.0,Germany,18,7375.79,17,0
12475.0,Germany,1,723.38,53,0
12476.0,Germany,11,6816.42,15,0
12477.0,Germany,6,13219.74,22,0
12478.0,Greece,1,680.99,3,0
12479.0,Germany,1,527.2,11,0
12480.0,Germany,4,3281.63,28,0
12481.0,Germany,10,5596.32,22,0
12483.0,Sweden,8,2484.98,17,0
12484.0,Spain,6,4541.72,32,0
12488.0,France,3,1298.66,9,0
12489.0,France,1,334.93,336,1
12490.0,France,10,5417.93,5,0
12491.0,France,1,460.40000000000003,38,0
12492.0,Germany,2,263.21000000000004,63,0
12493.0,France,2,433.74,165,1
12494.0,France,7,1246.1,15,0
12497.0,Germany,1,1043.1,81,0
12498.0,Germany,3,403.70000000000005,21,0
12500.0,Germany,11,4257.82,23,0
12501.0,Germany,1,2169.39,336,1
12502.0,Spain,5,3723.87,95,1
12504.0,Germany,2,482.04999999999995,18,0
12506.0,France,1,73.5,232,1
12507.0,Spain,3,1304.81,134,1
12508.0,France,2,398.27,26,0
12509.0,France,1,176.5,284,1
12510.0,Spain,2,982.5699999999999,142,1
12512.0,Israel,2,138.03,66,0
12513.0,France,1,612.29,112,1
